"DMA","CITY","ST","NETWORK","CALLSIGN","FACIL
ID NO","VIRTUAL CHAN","
DIGITAL CHAN","ANALOG TERMINATION DATE","HRDSHP WVR","NL","SIGNAL & CONSTRUCTION ISSUES","LICENSEE"
"DES MOINES-AMES","DES MOINES","IA","CW","KDMI",78915,,19,"DIGITAL ONLY",,,"EXT-DARK","KDMI LICENSE, LLC"
"DES MOINES-AMES","DES MOINES","IA","FOX","KDSM-TV",56527,17,16,2/17/09,,,,"KDSM LICENSEE, LLC"
"DES MOINES-AMES","DES MOINES","IA","NBC","WHO-TV",66221,13,13,2/17/09,,,,"LOCAL TV IOWA LICENSE, LLC"
"DES MOINES-AMES","FORT DODGE","IA","PBS","KTIN",29100,21,25,6/12/09,,,,"IOWA PUBLIC BROADCASTING BOARD"
"DES MOINES-AMES","NEWTON","IA","ION","KFPX-TV",81509,39,39,6/12/09,,,,"ION MEDIA DES MOINES LICENSE, INC."
"DETROIT","ANN ARBOR","MI","ION","WPXD",5800,31,31,2/17/09,,,,"ION MEDIA LICENSE COMPANY, LLC"
"DETROIT","DETROIT","MI","NBC","WDIV-TV",53114,4,45,6/12/09,," ",,"POST-NEWSWEEK STATIONS, MICHIGAN, INC."
"DETROIT","DETROIT","MI","FOX","WJBK",73123,2,7,6/12/09,,"S","PHASED TRAN","WJBK LICENSE, INC."
"DETROIT","DETROIT","MI","CW","WKBD",51570,50,14,6/12/09,,,,"DETROIT TELEVISION STATION WKBD INC"
"DETROIT","DETROIT","MI","MYTV","WMYD",74211,20,21,2/17/09,,,,"WXON LICENSE, INC."
"DETROIT","DETROIT","MI","PBS","WTVS",16817,56,43,4/16/09,,,,"DETROIT EDUCATIONAL TELEVISION FOUNDATION"
"DETROIT","DETROIT","MI","CBS","WWJ-TV",72123,62,44,6/12/09,,,"2% LOSS","CBS BROADCASTING INC."
"DETROIT","DETROIT","MI","ABC","WXYZ-TV",10267,7,41,6/12/09,,,,"CHANNEL 7 OF DETROIT, INC."
"DETROIT","MOUNT CLEMENS","MI","IND","WADL",455,38,39,6/12/09,,,,"ADELL BROADCASTING CORPORATION"
"DOTHAN","DOTHAN","AL","ABC","WDHN",43846,18,21,4/16/09,,"C",,"NEXSTAR BROADCASTING, INC."
"DOTHAN","DOTHAN","AL","CBS","WTVY",4152,4,36,6/12/09,,,"PHASED TRAN","GRAY TELEVISION LICENSEE, LLC"
"DOTHAN","LOUISVILLE","AL","PBS","WGIQ",710,43,44,2/17/09,,,,"ALABAMA EDUCATIONAL TELEVISION COMMISSION"
"DOTHAN","OZARK","AL","FOX","WDFX-TV",32851,34,33,6/12/09,,,,"WDFX LICENSE SUBSIDIARY, LLC"
"DULUTH-SUPERIOR","CHISHOLM","MN","NBC","KRII",82698,11,11,"Before 2/17/09",,,,"CHANNEL 11 LICENSE, INC."
"DULUTH-SUPERIOR","DULUTH","MN","CBS","KDLH",4691,3,33,6/12/09,,"S","2% LOSS","MALARA BROADCAST GROUP OF DULUTH LICENSEE LLC"
"DULUTH-SUPERIOR","DULUTH","MN","FOX","KQDS-TV",35525,21,17,"Before 2/17/09",,,,"KQDS ACQUISITION CORP."
"DULUTH-SUPERIOR","DULUTH","MN","ABC","WDIO-TV",71338,10,10,2/17/09,,," ","WDIO-TV, LLC   "
"DULUTH-SUPERIOR","DULUTH","MN","PBS","WDSE-TV",17726,8,8,6/12/09,,,,"DULUTH-SUPERIOR AREA EDUCATIONAL TV CORPORATION"
"DULUTH-SUPERIOR","HIBBING","MN","ABC","WIRT",71336,13,13,2/17/09,,,,"WDIO-TV, LLC"
"DULUTH-SUPERIOR","SUPERIOR","WI","NBC","KBJR-TV",33658,6,19,2/17/09,,,"2% LOSS","KBJR LICENSE, INC."
"EL PASO (LAS CRUCES)","EL PASO","TX","PBS","KCOS",19117,13,13,6/12/09,,,,"EL PASO PUBLIC TELEVISION FOUNDATION"
"EL PASO (LAS CRUCES)","EL PASO","TX","CBS","KDBC-TV",33764,4,18,6/12/09,,,"PHASED TRAN","KDBC LICENSE, LLC ."
"EL PASO (LAS CRUCES)","EL PASO","TX","FOX","KFOX-TV",33716,14,15,6/12/09,,"S",,"KTVU PARTNERSHIP"
"EL PASO (LAS CRUCES)","EL PASO","TX","UNIVISION","KINT-TV",51708,26,25,6/12/09,,,,"ENTRAVISION HOLDINGS, LLC"
"EL PASO (LAS CRUCES)","EL PASO","TX","ETV","KSCE",10202,38,39,6/12/09,,,,"CHANNEL 38 CHRISTIAN TELEVISION"
"EL PASO (LAS CRUCES)","EL PASO","TX","UNIVISION","KTFN",68753,65,51,6/12/09,,,,"ENTRAVISION HOLDINGS, LLC"
"EL PASO (LAS CRUCES)","EL PASO","TX","NBC","KTSM-TV",67760,9,9,6/12/09,,,,"COMCORP OF EL PASO LICENSE CORP."
"EL PASO (LAS CRUCES)","EL PASO","TX","ABC","KVIA-TV",49832,7,7,6/12/09,,,,"NPG OF TEXAS, L.P."
"EL PASO (LAS CRUCES)","LAS CRUCES","NM","PBS","KRWG-TV",55516,22,23,6/10/09,,,,"REGENTS OF NEW MEXICO STATE UNIVERSITY"
"EL PASO (LAS CRUCES)","LAS CRUCES","NM","TELEMUNDO","KTDO",36916,48,47,6/12/09,,," ","ZGS EL PASO TELEVISION L.P."
"ELMIRA (CORNING)","CORNING","NY","FOX","WYDC",62219,48,48,"Before 2/17/09",,,,"WYDC, INC."
"ELMIRA (CORNING)","ELMIRA","NY","ABC","WENY-TV ",71508,36,36,4/25/09,,"C",,"LILLY BROADCASTING, L.L.C."
"ELMIRA (CORNING)","ELMIRA","NY","NBC","WETM-TV",60653,18,18,6/12/09,,,,"NEWPORT TELEVISION LICENSE LLC"
"ERIE","ERIE","PA","FOX","WFXP",19707,66,22,4/22/09,,"C",,"MISSION BROADCASTING, INC."
"ERIE","ERIE","PA","NBC","WICU-TV",24970,12,12,6/12/09,,,"2% LOSS","SJL OF PENNSYLVANIA LICENSE SUBSIDIARY, LLC"
"ERIE","ERIE","PA","ABC","WJET-TV",65749,24,24,4/17/09,,"C",,"NEXSTAR BROADCASTING, INC."
"ERIE","ERIE","PA","PBS","WQLN",53716,54,50,"Before 2/17/09",,,"PHASED TRAN","PUBLIC BROADCASTING OF NORTHWEST PENNSYLVANIA, INC."
"ERIE","ERIE","PA","CBS","WSEE-TV",49711,35,16,2/17/09,,,,"LILLY BROADCASTING OF PENNSYLVANIA LICENSE SUB., LLC"
"EUGENE","COOS BAY","OR","CBS","KCBY-TV",49750,11,11,6/12/09,,,,"FISHER BROADCASTING - OREGON TV, L.L.C."
"EUGENE","COOS BAY","OR","NBC","KMCB",35183,23,22,6/12/09,,,,"NEWPORT TELEVISION LICENSE LLC"
"EUGENE","CORVALLIS","OR","PBS","KOAC-TV",50590,7,7,6/12/09,,,,"OREGON PUBLIC BROADCASTING"
"EUGENE","EUGENE","OR","PBS","KEPB-TV",50591,28,29,6/12/09,,,,"OREGON PUBLIC BROADCASTING"
"EUGENE","EUGENE","OR","ABC","KEZI",34406,9,9,2/17/09,,,"2% LOSS","KEZI, INC."
"EUGENE","EUGENE","OR","FOX","KLSR-TV",8322,34,31,2/17/09,,,,"CALIFORNIA OREGON BROADCASTING, INC."
"EUGENE","EUGENE","OR","NBC","KMTR",35189,16,17,6/12/09,,,,"NEWPORT TELEVISION LICENSE LLC"
"EUGENE","EUGENE","OR","CBS","KVAL-TV",49766,13,13,6/12/09,,,,"FISHER BROADCASTING - OREGON TV, L.L.C."
"EUGENE","ROSEBURG","OR","CBS","KPIC",61551,4,19,6/12/09,,"S","2% LOSS","SOUTH WEST OREGON TV BROADCASTING  CORP."
"EUGENE","ROSEBURG","OR","NBC","KTCW",35187,46,45,6/12/09,,,,"NEWPORT TELEVISION LICENSE LLC"
"EUGENE","ROSEBURG","OR","RTN","KTVC",31437,36,18,6/12/09,,,,"ROSEBURG BROADCASTING, INC."
"EUREKA","ARCATA","CA","ABC","KAEF",8263,23,22,6/12/09,,,,"BLUESTONE LICENSE HOLDINGS INC."
"EUREKA","EUREKA","CA","FOX","KBVU",58618,29,28,"Before 2/17/09",,,,"SAINTE SEPULVEDA, INC."
"EUREKA","EUREKA","CA","PBS","KEET",55435,13,11,2/17/09,,,,"REDWOOD EMPIRE PUBLIC TELEVISION, INC."
"EUREKA","EUREKA","CA","NBC","KIEM-TV",53382,3,3,6/12/09,,,,"POLLACK/BELZ BROADCASTING COMPANY, LLC"
"EUREKA","EUREKA","CA","CBS","KVIQ",42640,6,17,"Before 2/17/09",,,"2% LOSS","RAUL BROADCASTING COMPANY OF EUREKA, INC."
"EVANSVILLE","EVANSVILLE","IN","ABC","WEHT",24215,25,7,6/12/09,,,,"GILMORE BROADCASTING CORPORATION"
"EVANSVILLE","EVANSVILLE","IN","CBS","WEVV",72041,44,45,6/12/09,,"S",,"COMCORP OF INDIANA LICENSE CORP."
"EVANSVILLE","EVANSVILLE","IN","NBC","WFIE",13991,14,46,6/12/09,,,,"WFIE LICENSE SUBSIDIARY, LLC"
"EVANSVILLE","EVANSVILLE","IN","PBS","WNIN",67802,9,9,6/12/09,,,"2% LOSS","WNIN TRI-STATE PUBLIC MEDIA, INC."
"EVANSVILLE","EVANSVILLE","IN","FOX","WTVW",3661,7,28,6/12/09,,,"2% LOSS","NEXSTAR BROADCASTING, INC."
"EVANSVILLE","MADISONVILLE","KY","CW","WAZE-TV",74592,19,20,6/12/09,,,,"ROBERTS BROADCASTING COMPANY OF EVANSVILLE, IN, LLC"
"EVANSVILLE","MADISONVILLE","KY","PBS","WKMA-TV",34212,35,42,4/16/09,,,,"KENTUCKY AUTHORITY FOR EDUCATIONAL TV"
"EVANSVILLE","OWENSBORO","KY","PBS","WKOH",34205,31,30,4/16/09,,,,"KENTUCKY AUTHORITY FOR EDUCATIONAL TV"
"FAIRBANKS","FAIRBANKS","AK","ABC","KATN",13813,2,18,6/12/09,,,,"SMITH MEDIA LICENSE HOLDINGS, LLC"
"FAIRBANKS","FAIRBANKS","AK","FOX","KFXF",64597,7,7,"Before 2/17/09",,,,"TANANA VALLEY TELEVISION COMPANY"
"FAIRBANKS","FAIRBANKS","AK","NBC","KTVF",49621,11,26,6/12/09,,,,"NEWPORT TELEVISION LICENSE LLC"
"FAIRBANKS","FAIRBANKS","AK","PBS","KUAC-TV",69315,9,9,6/12/09,,,"PHASED TRAN","UNIVERSITY OF ALASKA"
"FAIRBANKS","NORTH POLE","AK","TBN","KJNP-TV",20015,4,20,6/12/09,,,"2% LOSS","EVANGELISTIC ALASKA MISSIONARY FELLOWSHIP, INC."
"FARGO-VALLEY CITY","CROOKSTON","MN","PBS","KCGE-DT",132606,,16,"DIGITAL ONLY",,,,"PRAIRIE PUBLIC BROADCASTING INC."
"FARGO-VALLEY CITY","DEVILS LAKE","ND","PBS","KMDE",162016,,25,"DIGITAL ONLY",,,,"PRAIRIE PUBLIC BROADCASTING, INC."
"FARGO-VALLEY CITY","DEVILS LAKE","ND","ABC","WDAZ-TV",22124,8,8,2/17/09,"GRNTD",,,"FORUM COMMUNICATIONS COMPANY"
"FARGO-VALLEY CITY","ELLENDALE","ND","PBS","KJRE",53315,19,20,2/17/09,,,,"PRAIRIE PUBLIC BROADCASTING, INC."
"FARGO-VALLEY CITY","FARGO","ND","PBS","KFME",53321,13,13,"Before 2/17/09",,,"2% LOSS","PRAIRIE PUBLIC BROADCASTING, INC."
"FARGO-VALLEY CITY","FARGO","ND","NBC","KVLY-TV",61961,11,44,"Before 2/17/09",,,"2% LOSS","HOAK MEDIA OF DAKOTA LICENSE, LLC"
"FARGO-VALLEY CITY","FARGO","ND","FOX","KVRR",55372,15,19,"Before 2/17/09",,,"PHASED TRAN","RED RIVER BROADCAST CO., LLC"
"FARGO-VALLEY CITY","FARGO","ND","ABC","WDAY-TV",22129,6,21,6/12/09,,,"2% LOSS","FORUM COMMUNICATIONS COMPANY"
"FARGO-VALLEY CITY","GRAND FORKS","ND","MYTV","KCPM",86208,27,27,6/12/09,,," ","G.I.G. OF NORTH DAKOTA, LLC"
"FARGO-VALLEY CITY","GRAND FORKS","ND","PBS","KGFE",53320,2,15,6/12/09,,," ","PRAIRIE PUBLIC BROADCASTING, INC."
"FARGO-VALLEY CITY","JAMESTOWN","ND","FOX","KJRR",55364,7,7,"Before 2/17/09",,,,"RED RIVER BROADCAST CO., LLC"
"FARGO-VALLEY CITY","PEMBINA","ND","FOX","KNRR ",55362,12,12,6/12/09,,,"EXT-DARK","RED RIVER BROADCAST CO., LLC"
"FARGO-VALLEY CITY","THIEF RIVER FALLS","MN","FOX","KBRR",55370,10,10,"Before 2/17/09",,,,"RED RIVER BROADCAST CO., LLC"
"FARGO-VALLEY CITY","VALLEY CITY","ND","CBS","KXJB-TV",49134,4,38,"Before 2/17/09",,,"2% LOSS","PARKER BROADCASTING OF DAKOTA, LLC"
"FLINT-SAGINAW-BAY CITY","BAD AXE","MI","PBS","WDCQ-TV",16530,35,15,6/12/09,,,"2% LOSS","DELTA COLLEGE"
"FLINT-SAGINAW-BAY CITY","BAY CITY","MI","CW","WBSF",82627,46,46,6/12/09,,,"2%LOSS","BARRINGTON BAY CITY LICENSE LLC"
"FLINT-SAGINAW-BAY CITY","BAY CITY","MI","CBS","WNEM-TV",41221,5,22,6/12/09,,,,"MEREDITH CORPORATION"
"FLINT-SAGINAW-BAY CITY","FLINT","MI","PBS","WFUM",69273,28,28,"Before 2/17/09",,,,"UNIVERSITY OF MICHIGAN"
"FLINT-SAGINAW-BAY CITY","FLINT","MI","ABC","WJRT-TV",21735,12,12,6/12/09,,,,"FLINT LICENSE SUBSIDIARY CORP."
"FLINT-SAGINAW-BAY CITY","FLINT","MI","FOX","WSMH",21737,66,16,5/21/09,,"C",,"WSMH LICENSEE, LLC"
"FLINT-SAGINAW-BAY CITY","MOUNT PLEASANT","MI","PBS","WCMU-TV",9908,14,26,3/31/09,,,"2% LOSS","CENTRAL MICHIGAN UNIVERSITY"
"FLINT-SAGINAW-BAY CITY","SAGINAW","MI","IND","WAQP",67792,49,48,6/12/09,,,,"TCT OF MICHIGAN, INC."
"FLINT-SAGINAW-BAY CITY","SAGINAW","MI","NBC","WEYI-TV",72052,25,30,6/12/09,,"S",,"BARRINGTON FLINT LICENSE LLC"
"FRESNO-VISALIA","CLOVIS","CA","IND","KGMC",23302,43,43,6/12/09,,,,"COCOLA BROADCASTING COMPANIES LLC"
"FRESNO-VISALIA","FRESNO","CA","MYTV","KAIL",67494,53,7,6/12/09,,,,"TRANS AMERICA BROADCASTING CORP."
"FRESNO-VISALIA","FRESNO","CA","ABC","KFSN-TV",8620,30,30,6/12/09,,,,"KFSN TELEVISION, LLC"
"FRESNO-VISALIA","FRESNO","CA","CBS","KGPE",56034,47,34,6/12/09,,,,"HIGH PLAINS BROADCASTING LICENSE COMPANY LLC"
"FRESNO-VISALIA","FRESNO","CA","NBC","KSEE",35594,24,38,6/12/09,,"S","2% LOSS","KSEE LICENSE, INC."
"FRESNO-VISALIA","FRESNO","CA","PBS","KVPT",69733,18,40,2/17/09,,,,"VALLEY PUBLIC TELEVISION, INC."
"FRESNO-VISALIA","HANFORD","CA","UNIVISION","KFTV",34439,21,20,6/12/09,,,,"KFTV LICENSE PARTNERSHIP, G.P."
"FRESNO-VISALIA","MERCED","CA","TELEMUNDO","KNSO",58608,51,11,6/12/09,,"S","PHASED TRAN","NBC TELEMUNDO LICENSE CO."
"FRESNO-VISALIA","PORTERVILLE","CA","TELEFUTURA","KTFF-TV",35512,61,48,6/12/09,,,,"TELEFUTURA FRESNO LLC"
"FRESNO-VISALIA","SANGER","CA","CW","KFRE-TV",59013,59,36,6/12/09,,,,"KFRE (TV) LICENSE, LLC"
"FRESNO-VISALIA","VISALIA","CA","FOX","KMPH-TV",51488,26,28,6/12/09,,,,"KMPH (TV) LICENSE, LLC."
"FRESNO-VISALIA","VISALIA","CA","ETV","KNXT",16950,49,50,6/12/09,,,,"DIOCESE OF FRESNO EDUCATION CORP."
"FT. MYERS-NAPLES","CAPE CORAL","FL","FOX","WFTX",70649,36,35,6/12/09,,,,"JOURNAL BROADCAST CORPORATION"
"FT. MYERS-NAPLES","FORT MYERS","FL","NBC","WBBH-TV",71085,20,15,2/17/09,,,,"WATERMAN  BROADCASTING CORP. OF FLORIDA"
"FT. MYERS-NAPLES","FORT MYERS","FL","PBS","WGCU",62388,30,31,6/12/09,,,,"BOARD OF TRUSTEES, FLORIDA GULF COAST UNIVERSITY"
"FT. MYERS-NAPLES","FORT MYERS","FL","CBS","WINK-TV",22093,11,9,2/17/09,,,,"FORT MYERS BROADCASTING COMPANY"
"FT. MYERS-NAPLES","NAPLES","FL","CW","WXCW",61504,46,45,2/17/09,,,,"SUN BROADCASTING, INC."
"FT. MYERS-NAPLES","NAPLES","FL","ABC","WZVN-TV",19183,26,41,2/17/09,,,,"MONTCLAIR COMMUNICATIONS, INC."
"FT. MYERS-NAPLES","TICE","FL","REL","WRXY-TV",71580,49,33,"Before 2/17/09",,,,"WEST COAST CHRISTIAN TELEVISION, INC"
"FT. SMITH-FAY-SPRNGDL-RGRS","EUREKA SPRINGS","AR","MYTV","KPBI",81593,34,34,6/12/09,,,"EXT-DARK","TV 34, INC."
"FT. SMITH-FAY-SPRNGDL-RGRS","FAYETTEVILLE","AR","PBS","KAFT",2767,13,9,6/12/09,,,,"ARKANSAS EDUCATIONAL TELEVISION COMMISSION"
"FT. SMITH-FAY-SPRNGDL-RGRS","FAYETTEVILLE","AR","ABC","KHOG-TV",60354,29,15,6/12/09,,,,"KHBS HEARST-ARGYLE TELEVISION, INC."
"FT. SMITH-FAY-SPRNGDL-RGRS","FORT SMITH","AR","CBS","KFSM-TV",66469,5,18,6/12/09,,,"2% LOSS","LOCAL TV ARKANSAS LICENSE, LLC"
"FT. SMITH-FAY-SPRNGDL-RGRS","FORT SMITH","AR","NBC/FOX","KFTA-TV",29560,24,27,"Before 2/17/09",,,,"NEXSTAR BROADCASTING, INC."
"FT. SMITH-FAY-SPRNGDL-RGRS","FORT SMITH","AR","ABC","KHBS",60353,40,21,6/12/09,,,,"KHBS HEARST-ARGYLE TELEVISION, INC."
"FT. SMITH-FAY-SPRNGDL-RGRS","ROGERS","AR","NBC","KNWA-TV",29557,51,50,4/16/09,,"C",,"NEXSTAR BROADCASTING, INC."
"FT. SMITH-FAY-SPRNGDL-RGRS","SPRINGDALE","AR","IND","KWOG",67347,57,39,4/30/09,,,,"WORD OF GOD FELLOWSHIP, INC."
"FT. WAYNE","ANGOLA","IN","IND","WINM",67787,63,12,5/4/09,,,,"TRI-STATE CHRISTIAN TV, INC."
"FT. WAYNE","FORT WAYNE","IN","CBS","WANE-TV",39270,15,31,6/12/09,,,,"INDIANA BROADCASTING, LLC"
"FT. WAYNE","FORT WAYNE","IN","FOX","WFFT-TV",25040,55,36,6/12/09,,,,"NEXSTAR BROADCASTING, INC."
"FT. WAYNE","FORT WAYNE","IN","PBS","WFWA",22108,39,40,2/17/09,,,,"FORT WAYNE PUBLIC TELEVISION, INC."
"FT. WAYNE","FORT WAYNE","IN","NBC","WISE-TV",13960,33,19,2/17/09,,,,"WISE-TV LICENSE, LLC"
"FT. WAYNE","FORT WAYNE","IN","ABC","WPTA",73905,21,24,2/17/09,,,,"MALARA BROADCAST GROUP OF FORT WAYNE LICENSEE LLC"
"GAINESVILLE","GAINESVILLE","FL","ABC","WCJB-TV",16993,20,16,2/17/09,,,,"DIVERSIFIED BROADCASTING, INC."
"GAINESVILLE","GAINESVILLE","FL","N/A","WNBW-DT",83965,,9,"DIGITAL ONLY",,,,"MPS MEDIA OF GAINESVILLE LICENSE, LLC"
"GAINESVILLE","GAINESVILLE","FL","PBS","WUFT",69440,5,36,6/12/09,,"S","2% LOSS","BOARD OF TRUSTEES, UNIVERSITY OF FLORIDA"
"GAINESVILLE","HIGH SPRINGS","FL","CBS","WGFL",7727,53,28,"Before 2/17/09",,,,"NEW AGE MEDIA OF GAINESVILLE LICENSE, LLC"
"GAINESVILLE","OCALA","FL","FOX","WOGX",70651,51,31,6/12/09,,,,"FOX TELEVISION STATIONS, INC."
"GLENDIVE","GLENDIVE","MT","CBS/NBC","KXGN-TV",24287,5,5,6/12/09,"EM",,,"GLENDIVE BROADCASTING CORP."
"GRAND JUNCTION-MONTROSE","GRAND JUNCTION","CO","FOX","KFQX",31597,4,15,2/17/09,,,"2% LOSS","PARKER BROADCASTING OF COLORADO, LLC"
"GRAND JUNCTION-MONTROSE","GRAND JUNCTION","CO","ABC","KJCT",52593,8,7,6/12/09,,,,"PIKES PEAK TELEVISION, INC."
"GRAND JUNCTION-MONTROSE","GRAND JUNCTION","CO","NBC","KKCO",24766,11,12,2/17/09,,,,"GRAY TELEVISION LICENSEE, LLC"
"GRAND JUNCTION-MONTROSE","GRAND JUNCTION","CO","CBS","KREX-TV",70596,5,2,2/17/09,,,"2% LOSS","HOAK MEDIA OF COLORADO LICENSE, LLC"
"GRAND JUNCTION-MONTROSE","GRAND JUNCTION","CO","ETV","KRMJ",14042,18,18,"Before 2/17/09",,,,"ROCKY MOUNTAIN PUBLIC BROADCASTING NETWORK, INC."
"GRAND JUNCTION-MONTROSE","MONTROSE","CO","CBS","KREY-TV",70579,10,13,2/17/09,,,,"HOAK MEDIA OF COLORADO LICENSE, LLC"
"GRAND RAPIDS-KALMZOO-B.CRK","BATTLE CREEK","MI","ABC","WOTV",10212,41,20,6/12/09,,,,"WOOD LICENSE COMPANY, LLC"
"GRAND RAPIDS-KALMZOO-B.CRK","BATTLE CREEK","MI","ION","WZPX-TV",71871,43,44,6/12/09,,,"2% LOSS","ION MEDIA BATTLE CREEK LICENSE, INC."
"GRAND RAPIDS-KALMZOO-B.CRK","GRAND RAPIDS","MI","PBS","WGVU-TV",24784,35,11,6/12/09,,,,"GRAND VALLEY STATE UNIVERSITY"
"GRAND RAPIDS-KALMZOO-B.CRK","GRAND RAPIDS","MI","NBC","WOOD-TV",36838,8,7,6/12/09,,,,"WOOD LICENSE COMPANY, LLC"
"GRAND RAPIDS-KALMZOO-B.CRK","GRAND RAPIDS","MI","FOX","WXMI",68433,17,19,6/12/09,,,"2% LOSS","TRIBUNE TELEVISION HOLDINGS, INC."
"GRAND RAPIDS-KALMZOO-B.CRK","GRAND RAPIDS","MI","ABC","WZZM",49713,13,13,6/12/09,,,,"COMBINED COMMUNICATIONS CORP. OF OKLAHOMA, INC."
"GRAND RAPIDS-KALMZOO-B.CRK","KALAMAZOO","MI","PBS","WGVK",24783,52,5,6/12/09,,,,"GRAND VALLEY STATE UNIVERSITY"
"GRAND RAPIDS-KALMZOO-B.CRK","KALAMAZOO","MI","IND","WLLA",11033,64,45,"Before 2/17/09",,,,"CHRISTIAN FAITH BROADCAST, INC."
"GRAND RAPIDS-KALMZOO-B.CRK","KALAMAZOO","MI","CBS","WWMT",74195,3,8,6/12/09,,,,"FREEDOM BROADCASTING OF MICHIGAN LICENSEE, L.L.C."
"GRAND RAPIDS-KALMZOO-B.CRK","MUSKEGON","MI","IND","WTLJ",67781,54,24,6/12/09,,,,"TCT OF MICHIGAN, INC."
"GREAT FALLS","GREAT FALLS","MT","ABC","KFBB-TV",34412,5,8,2/17/09,,,,"MMM LICENSE II LLC"
"GREAT FALLS","GREAT FALLS","MT","FOX","KLMN",81331,26,26,6/12/09,,,"EXT-DARK","MONTANA LICENSE SUB, INC."
"GREAT FALLS","GREAT FALLS","MT","CBS","KRTV",35567,3,7,2/17/09,,,"2% LOSS","KRTV COMMUNICATIONS, INC."
"GREAT FALLS","GREAT FALLS","MT","IND","KTGF",13792,16,45,6/12/09,,,,"DESTINY LICENSES, LLC"
"GREAT FALLS","HAVRE","MT","NBC","KBBJ",83689,9,9,6/12/09,,,,"BEARTOOTH COMMUNICATIONS COMPANY"
"GREAT FALLS","LEWISTOWN","MT","NBC","KBAO",84794,13,13,6/12/09,,,,"BEARTOOTH COMMUNICATIONS COMPANY"
"GREEN BAY-APPLETON","APPLETON","WI","MYTV","WACY-TV",361,32,27,6/12/09,,,,"ACE TV, INC."
"GREEN BAY-APPLETON","FOND DU LAC","WI","IND","WWAZ-TV",60571,68,44,"Before 2/17/09",,,"2% LOSS/EXT-DARK","WWAZ LICENSE, LLC"
"GREEN BAY-APPLETON","GREEN BAY","WI","ABC","WBAY-TV",74417,2,23,6/12/09,,,,"YOUNG BROADCASTING OF GREEN BAY, INC."
"GREEN BAY-APPLETON","GREEN BAY","WI","CBS","WFRV-TV",9635,5,39,2/17/09,,,"2% LOSS","WFRV AND WJMN TELEVISION STATION INC."
"GREEN BAY-APPLETON","GREEN BAY","WI","NBC","WGBA",2708,26,41,6/12/09,,,,"JOURNAL BROADCAST CORPORATION"
"GREEN BAY-APPLETON","GREEN BAY","WI","FOX","WLUK-TV",4150,11,11,6/12/09,,,,"LIN OF WISCONSIN, LLC"
"GREEN BAY-APPLETON","GREEN BAY","WI","ETV","WPNE-TV",18798,38,42,4/5/09,,,,"STATE OF WISCONSIN - EDUCATIONAL COMMUNICATIONS BD."
"GREEN BAY-APPLETON","SURING","WI","CW","WIWB",73042,14,21,2/17/09,,,"2% LOSS","ACME TELEVISION LICENSES OF WISCONSIN, LLC"
"GREENSBORO-H.POINT-W.SALEM","BURLINGTON","NC","ION","WGPX-TV",65074,16,14,6/12/09,,,,"ION MEDIA GREENSBORO LICENSE, INC."
"GREENSBORO-H.POINT-W.SALEM","GREENSBORO","NC","CBS","WFMY-TV",72064,2,51,6/12/09,,"S",,"WFMY TELEVISION CORPORATION"
"GREENSBORO-H.POINT-W.SALEM","GREENSBORO","NC","IND","WLXI",54452,61,43,6/12/09,,,,"RADIANT LIFE MINISTRIES, INC."
"GREENSBORO-H.POINT-W.SALEM","GREENSBORO","NC","MYTV","WMYV",25544,48,33,2/17/09,,,,"WUPN LICENSEE, LLC"
"GREENSBORO-H.POINT-W.SALEM","HIGH POINT","NC","FOX","WGHP",72106,8,8,6/12/09,,,"PHASED TRAN","COMMUNITY TELEVISION OF NORTH CAROLINA LICENSE, LLC"
"GREENSBORO-H.POINT-W.SALEM","LEXINGTON","NC","CW","WCWG",35385,20,19,6/12/09,,,,"WCWG LICENSE, LLC"
"GREENSBORO-H.POINT-W.SALEM","WINSTON-SALEM","NC","PBS","WUNL-TV",69360,26,32,6/12/09,,,"2% LOSS","UNIVERSITY OF NORTH CAROLINA"
"GREENSBORO-H.POINT-W.SALEM","WINSTON-SALEM","NC","NBC","WXII-TV",53921,12,31,6/12/09,,"S",,"WXII HEARST-ARGYLE TELEVISION, INC."
"GREENSBORO-H.POINT-W.SALEM","WINSTON-SALEM","NC","ABC","WXLV-TV",414,45,29,2/17/09,,,"2% LOSS","WXLV LICENSEE, LLC"
"GREENVILLE-N.BERN-WASHNGTN","GREENVILLE","NC","ION","WEPX-TV",81508,38,51,6/12/09,,,,"ION MEDIA GREENVILLE LICENSE, INC."
"GREENVILLE-N.BERN-WASHNGTN","GREENVILLE","NC","CBS","WNCT-TV",57838,9,10,6/12/09,,,,"MEDIA GENERAL COMMUNICATIONS HOLDINGS, LLC"
"GREENVILLE-N.BERN-WASHNGTN","GREENVILLE","NC","PBS","WUNK-TV",69149,25,23,6/12/09,,,,"UNIVERSITY OF NORTH CAROLINA"
"GREENVILLE-N.BERN-WASHNGTN","GREENVILLE","NC","FOX","WYDO",35582,14,47,6/7/09,,,"2% LOSS/PHSD TRAN","ESTEEM BROADCASTING OF NORTH CAROLINA LLC"
"GREENVILLE-N.BERN-WASHNGTN","JACKSONVILLE","NC","ION","WPXU-TV",37971,35,34,6/12/09,,,,"ION MEDIA  JACKSONVILLE LICENSE, INC."
